dialogue,classification,translation
Mae'r ferch yn hoffi ceffylau.,welsh,The girl likes horses.
Mae Tocio yn ddinas enfawr.,welsh,Tokyo is a huge city.
Rwyt ti'n ddynes.,welsh,You are a woman.
Mae o'n hunanol iawn.,welsh,He's really selfish.
Dw i'n casáu'r byd oherwydd bod y byd yn fy nghasáu innau.,welsh,I hate the world because the world hates me.
Mae Tom wedi bod yn tyfu barf trwy'r haf.,welsh,Tom has been growing a beard all summer.
Roeddwn i'n ddyn cyfoethog.,welsh,I was a rich man.
Prynais tair potel o win.,welsh,I bought three bottles of wine.
Wyt ti erioed wedi bwyta cig morfil?,welsh,Have you ever eaten whale meat?
Mi glywais i'r dail yn siffrwd.,welsh,I heard the leaves rustling.
Mae gan y ddwy ferch llygaid gleision.,welsh,Both girls have blue eyes.
Mae Tatoeba yn wefan gyfieithu.,welsh,Tatoeba is a translation website.
Cafodd ei fagu gan ei daid a'i nain.,welsh,He was raised by his grandparents.
Creda Tom mewn tylwyth teg.,welsh,Tom believes in fairies.
Gwna beth sy'n iawn.,welsh,Do what is right.
Ble mae'r safle bws?,welsh,Where's the bus stop?
Tybed beth ddigwyddodd iddo?,welsh,I wonder what happened to him.
Dydw i ddim eisiau brechdanau.,welsh,I do not want any sandwiches.
Dydy Tom ddim yn deall Ffrangeg.,welsh,Tom doesn't understand French.
Teimlas yn unig hebddi.,welsh,I felt lonely without her.
Mae'r ci hwn yn rhedeg yn gyflym.,welsh,This dog runs fast.
Dw i angen nodiadur er mwyn ysgrifennu fy nodiadau.,welsh,I need a notebook to write my notes.
Paid â darllen fy nyddiadur.,welsh,Don't read my diary.
Peidiwch â darllen fy nyddiadur.,welsh,Don't read my diary.
Dydw i ddim yn gwybod ei rhif ffôn hi.,welsh,I don't know her telephone number.
"Er ei bod hi'n bwrw glaw, mi es i allan.",welsh,"Although it was raining, I went out."
"Er ei bod hi'n bwrw glaw, mi es i allan.",welsh,"Even though it was raining, I went out."
Mae gen i ddau frawd ac un chwaer.,welsh,I have two brothers and one sister.
Mi es i i'r parc gyda Mary ddoe.,welsh,I went to the park with Mary yesterday.
Mae o'n byw yn ei gar.,welsh,He lives in his car.
Rwyt ti'n berffaith normal.,welsh,You're perfectly normal.
Rwyt ti'n berffaith normal.,welsh,You are perfectly normal.
Dw i'n berffeithydd.,welsh,I'm a perfectionist.
Rwy'n berffeithydd.,welsh,I'm a perfectionist.
Mae fy mrawd yn cyrraedd bore 'fory.,welsh,My brother is arriving tomorrow morning.
Mae fy mrawd yn cyrraedd bore 'fory.,welsh,My brother arrives tomorrow morning.
Dw i ddim yn hoffi dyddiau gwyntog.,welsh,I don't like windy days.
Mae hi'n saith o'r gloch.,welsh,It's seven o'clock.
Mae hi'n saith o'r gloch.,welsh,It is seven o'clock.
Roedd y tywysog ar goll yn y goedwig.,welsh,The prince was lost in the woods.
Mae'n stori amwys.,welsh,It's a vague story.
Mae o'n casáu Nancy.,welsh,He hates Nancy.
Mae'n rhaid i mi fynd rŵan.,welsh,I must go now.
Mae'n rhaid i mi fynd rŵan.,welsh,I have to go now.
Mae o newydd gyrraedd.,welsh,He just arrived.
Mae o newydd gyrraedd.,welsh,He has just arrived.
Mae'r trên yn gyflym iawn.,welsh,The train is very fast.
Oes gen ti unrhyw lyfrau am Armenia?,welsh,Do you have any books about Armenia?
Oes gennych chi unrhyw lyfrau am Armenia?,welsh,Do you have any books about Armenia?
Byth eto.,welsh,Never again.
Tybed beth ddigwyddodd?,welsh,I wonder what happened.
Mae yna ddwy gath yn cysgu ar y gwely.,welsh,There are two cats sleeping on the bed.
Mae yna ddwy gath yn cysgu ar y gwely.,welsh,There are two female cats sleeping on the bed.
Mae hanner yr afalau hyn wedi pydru.,welsh,Half of these apples are rotten.
Wyt ti wir eisiau aros am Tom?,welsh,Do you really want to wait for Tom?
Dw i'n hoffi darllen.,welsh,I like reading.
Cyflwyna dy waith cartref ar ddydd Llun.,welsh,Submit your homework on Monday.
Cyflwynwch eich gwaith cartref ar ddydd Llun.,welsh,Submit your homework on Monday.
"Mae yna ddau sero yn y rhif ""2010"".",welsh,"There are two zeros in the number ""2010."""
"Mae yna ddau sero yn y rhif ""2010"".",welsh,"There are two zeroes in ""2010""."
Roedd hi'n niwlog iawn.,welsh,It was very misty.
Athrawes ydy hi.,welsh,She is a teacher.
Mae hi'n athrawes.,welsh,She is a teacher.
Rydym yn gwylio.,welsh,We are watching.
Gwyliwn.,welsh,We are watching.
Rhedodd yr arth ar fy ôl i.,welsh,The bear ran after me.
Mae o'n dalach na'i frawd.,welsh,He is taller than his brother.
Mae'r glaw yn fy nilyn i bob man!,welsh,The rain follows me everywhere!
Beth wyt ti'n ei wneud dydd Sul nesa'?,welsh,What are you doing next Sunday?
"Yn ôl Meic, mi brynodd Mac gar newydd.",welsh,"According to Mike, Mac bought a new car."
Dw i'n gwerthfawrogi'r cyngor.,welsh,I appreciate the advice.
"Mae'r Gymraeg, Cernyweg a'r Llydaweg oll yn perthyn yn agos i'w gilydd.",welsh,"Welsh, Cornish and Breton are all closely related."
Dw i'n dod adre.,welsh,I'm coming home.
Myfyrwraig feddygol oedd hi.,welsh,She was a medical student.
Roedd hi'n sefyll yng nghanol yr ystafell.,welsh,She was standing in the middle of the room.
Mae Tom yn swrth iawn.,welsh,Tom is very blunt.
Dw i'n mynd i'r eglwys ar ddydd Sul.,welsh,"On Sunday, I go to church."
Dw i'n mynd i'r eglwys ar ddydd Sul.,welsh,I go to church on Sunday.
Mae hi wedi bod yn ddiwrnod da.,welsh,It's been a good day.
Mae hi wedi bod yn ddiwrnod da.,welsh,It has been a good day.
Dw i'n heneiddio.,welsh,I'm getting old.
Mae'r trên yn ddeng munud yn hwyr heddiw.,welsh,The train is 10 minutes late today.
Mae'r trên yn ddeng munud yn hwyr heddiw.,welsh,The train is ten minutes late today.
Mae eu traed yn fudr.,welsh,Their feet are dirty.
Mae eu traed yn fudr.,welsh,His feet are dirty.
Mae'r cwmni eisiau cyflogi ugain o bobl.,welsh,The company wants to hire 20 people.
Mae'r cwmni eisiau cyflogi ugain o bobl.,welsh,The company want to employ twenty people.
Mae hi wedi bod yn bwrw glaw yn ddi-stop am dri diwrnod.,welsh,It's been raining non-stop for three days.
Mae hi wedi bod yn bwrw glaw yn ddi-stop am dri diwrnod.,welsh,It has been raining nonstop for three days.
Wyt ti'n hoffi bwyd Japaneaidd?,welsh,Do you like Japanese food?
Pa bryd wyt ti'n mynd?,welsh,When are you going?
Pa bryd wyt ti'n mynd?,welsh,What time are you going?
Roedd yr ardd yn llawn o flodau melyn.,welsh,The garden was full of yellow flowers.
Mae aros adre yn ddiflas.,welsh,Staying at home is boring.
Mae aros adre yn ddiflas.,welsh,Staying home is boring.
Wyt ti'n adnabod Mr. Bingley?,welsh,Do you know Mr. Bingley?
Ydych chi'n adnabod Mr. Bingley?,welsh,Do you know Mr. Bingley?
Ydych chi'n adnabod Mr. Bingley?,welsh,Do you know Mr Bingley?
Pam wnest ti gadael dy swydd?,welsh,Why did you quit your job?
Pam wnest ti gadael dy swydd?,welsh,Why did you leave your job?
"S'mae, fy enw i yw Pekka. Beth yw dy enw di?",welsh,"Hi, my name is Pekka. What is your name?"
"S'mae, fy enw i yw Pekka. Beth yw dy enw di?",welsh,"Hi, how are you? My name is Pekka. What is your name?"
Dydw i ddim yn gwylio teledu.,welsh,I don't watch TV.
Dydw i ddim yn gwylio teledu.,welsh,I don't watch television.
Mae gan gath gynffon a phedair coes.,welsh,A cat has a tail and four legs.
Mae gan gath gynffon a phedair coes.,welsh,Cats have a tail and four legs.
Mae traean yn llai na hanner.,welsh,A third is less than a half.
Ysgrifennodd Alexander frawddegau yn yr iaith Ferber.,welsh,Alexander wrote some sentences in Berber.
Ysgrifennodd Alexander frawddegau yn yr iaith Ferber.,welsh,Alexander wrote sentences in the Berber language.
Arabeg yw fy mamiaith.,welsh,Arabic is my mother tongue.
A oes yna unrhyw draethau yn yr Almaen?,welsh,Are there any beaches in Germany?
A oes yna ddaeargrynfeydd yn yr Almaen?,welsh,Are there earthquakes in Germany?
A oes yna orlifoedd yn yr Almaen?,welsh,Are there floods in Germany?
A oes yna sgorpionau yn yr Almaen?,welsh,Are there scorpions in Germany?
Wyt ti am dalu amdano?,welsh,Are you gonna pay for it?
Mae Barack Obama yn Gristion.,welsh,Barack Obama is a Christian.
Mae marwolaeth yn barhaol.,welsh,Death is permanent.
Wyt ti erioed wedi plannu coeden?,welsh,Have you ever planted a tree?
Welaist ti ei hwyneb hi?,welsh,Did you see her face?
Welaist ti ei wyneb o?,welsh,Did you see his face?
Welaist ti eu wynebau?,welsh,Did you see their faces?
Ydy cathod yn breuddwydio?,welsh,Do cats dream?
Ydy'r ddau ohonynt yn deall Siapaneg?,welsh,Do they both understand Japanese?
Oes ganddyn nhw arian?,welsh,Do they have money?
Wyt ti dal yn ei garu o?,welsh,Do you still love him?
Oes ganddo arian?,welsh,Does he have money?
Oes ganddo arian?,welsh,Has he got money?
Ydy o'n hoffi Siapan?,welsh,Does he like Japan?
Ydy cariad yn bodoli?,welsh,Does love exist?
Oes ganddi hi gariad?,welsh,Does she have a boyfriend?
Oes ganddi hi gariad?,welsh,Does she have a lover?
Ydy'r cloc yna yn gweithio?,welsh,Does that clock work?
Ydy dy ffrind yn siarad Esperanto?,welsh,Does your friend speak Esperanto?
Ydy dy gyfaill yn siarad Esperanto?,welsh,Does your friend speak Esperanto?
Mae'n rhaid i mi brynu blodau i'm cariad.,welsh,I have to buy flowers for my love.
Mae'r ci yn cysgu yn y car.,welsh,The dog is sleeping in the car.
Mae'r ci yn cysgu yn y car.,welsh,The dog's sleeping in the car.
Mae yna gath ar y bwrdd.,welsh,There's a cat on the table.
Mae yna gath ar y bwrdd.,welsh,There is a cat on the table.
Roeddwn i'n darllen llyfr.,welsh,I was reading a book.
Ble mae'r swyddfa bost?,welsh,Where is the post office?
Wnest ti anghofio unrhyw beth?,welsh,Did you forget anything?
Mae Tom yn anorecsig.,welsh,Tom is anorexic.
Mae ei theulu yn fawr iawn.,welsh,Her family is very large.
Mae ei theulu yn fawr iawn.,welsh,His family is very big.
Mae gen i syniad da.,welsh,I've got a good idea.
Mae gen i syniad da.,welsh,I have a good idea.
Dw i'n rhy fyr.,welsh,I am too short.
Dw i'n rhy fyr.,welsh,I'm too short.
Pa danlwybr sy'n mynd i ganol y dref?,welsh,What subway goes to the center of town?
Mae'r dref yn enwog am ei hen gastell.,welsh,The town is famous for its old castle.
Cachu!,welsh,Shit!
Roedd y llyfr hwn yn hawdd.,welsh,This book was easy.
Mae gen i lawer o dir.,welsh,I have a lot of land.
Mae hadau grawnafal yn gymharol fawr.,welsh,Pomegranate seeds are relatively big.
Mae Muiriel yn ugain mlwydd oed.,welsh,Muiriel is twenty years old.
Mae Muiriel yn ugain mlwydd oed.,welsh,Muriel is twenty years old.
Dw i'n hoffi bod gyda thi.,welsh,I like to be with you.
Dw i'n hoffi bod gyda thi.,welsh,I like being with you.
Mi es i i'r gwely yn hwyr yn y nos.,welsh,I went to bed late at night.
Mi es i i'r gwely yn hwyr yn y nos.,welsh,I went to bed late in the night.
Peidiwch â dweud celwydd!,welsh,Don't tell lies!
Mae Tom yn chwarae ffrisbi.,welsh,Tom is playing frisbee.
Mae Tom yn chwarae ffrisbi.,welsh,Tom is playing Frisbee.
Dw i am gael rhywbeth i'w fwyta.,welsh,I'm going to get something to eat.
Dw i am gael rhywbeth i'w fwyta.,welsh,I am going to have something to eat.
Mae'n amlwg i bawb ei fod e mewn cariad.,welsh,It's evident to everybody that he's in love.
Mae'n amlwg i bawb ei fod e mewn cariad.,welsh,It's obvious to everyone that he is in love.
Dw i angen cael swydd.,welsh,I need to get a job.
"Be' sy'n bod, cariad?",welsh,What's wrong sweetie?
"Be' sy'n bod, cariad?",welsh,"What's the matter, love?"
Mae'n amhosib iddo rhoi'r gorau i ysmygu.,welsh,It is impossible for him to give up smoking.
Mae'n amhosib iddo rhoi'r gorau i ysmygu.,welsh,It's impossible for him to give up smoking.
Dw i wir angen siarad gyda thi.,welsh,I really need to talk to you.
Dw i wir angen siarad gyda thi.,welsh,I really need to talk with you.
Mae'r llyfr hwn yn rhy ddrud i mi.,welsh,This book is too expensive for me.
Roedd gen i syniad gwych.,welsh,I had a brilliant idea.
Gad i mi wybod.,welsh,Let me know.
Gadewch i mi wybod.,welsh,Let me know.
Wyt ti wedi ymweld â sw yn dy wlad di?,welsh,Have you visited a zoo in your country?
Mae'n rhaid i mi weld meddyg ar unwaith.,welsh,I need to see a doctor immediately.
Mae'n rhaid i mi weld meddyg ar unwaith.,welsh,I must see a doctor at once.
Mae'r ieithydd yn eitha gyfarwydd â'r dafodiaith.,welsh,The linguist is quite familiar with the dialect.
Nid yw'r llyfr hwn am ieithyddiaeth.,welsh,This book is not about linguistics.
"Gall berson dwyieithog newid o un iaith i iaith arall yng nghanol frawddeg, ac mae'r cyfnewid-cod hwn yn bwnc astudio i ieithyddion.",welsh,"A bilingual person can change from one language to another in the middle of a sentence, and this code-switching is a topic of study for linguists."
Ieithydd Americanaidd oedd Edward Sapir.,welsh,Edward Sapir was an American linguist.
Mae gen i'r ffliw a dw i wedi blino.,welsh,I have the flu and I'm tired.
Mae gen i'r ffliw a dw i wedi blino.,welsh,I have flu and I'm tired.
Dwyt ti ddim i fod i ysmygu yma.,welsh,You are not supposed to smoke here.
Dwyt ti ddim i fod i ysmygu yma.,welsh,You're not supposed to smoke here.
Rydym ni am wahodd Tom a Mary i'n parti Nos Galan Gaeaf.,welsh,We're going to invite Tom and Mary to our Halloween party.
Tywynna'r bryn gan liwiau hydrefol.,welsh,The hill glows with autumnal colors.
Roedd hi'n noswaith hydrefol hyfryd.,welsh,It was a lovely autumn evening.
Mae'r hydref yma.,welsh,Autumn is here.
Mae'r hydref yma.,welsh,The autumn is here.
Try'r mynydd i gyd yn goch yn yr hydref.,welsh,The whole mountain turns red in autumn.
Mae'r dail yn newid eu lliw yn yr hydref.,welsh,The leaves change color in autumn.
Mae'r dail yn newid eu lliw yn yr hydref.,welsh,The leaves change their colour in autumn.
"Yn yr hydref, syrth y dail o'r coed.",welsh,"In autumn, leaves fall from trees."
"Yn yr hydref, syrth y dail o'r coed.",welsh,"In the Autumn, the leaves fall from the trees."
Yr hydref yw'r tymor gorau ar gyfer darllen.,welsh,Autumn is the best season for reading.
Fel deilen yn yr hydrefwynt.,welsh,Like a leaf in the autumn breeze.
Fel deilen yn yr hydrefwynt.,welsh,Like a leaf in the autumn wind.
Mae ganddo ddwylo esmwyth.,welsh,He has smooth hands.
Wyt ti'n siarad Saesneg?,welsh,Do you speak English?
Mae gen i lyfr.,welsh,I've got a book.
Mae gen i lyfr.,welsh,I have a book.
Sut mae'r tywydd?,welsh,How is the weather?
Wyt ti'n hoffi astudio?,welsh,Do you like studying?
Mae fy llygaid yn las.,welsh,My eyes are blue.
Mae'r tywydd yn braf heddiw.,welsh,The weather is nice today.
Mae'r bwrdd hwn yn lân.,welsh,This table is clean.
Llosgodd ei sigarét o dwll yn ei ffrog hi.,welsh,His cigarette burned a hole in her dress.
Llosgodd ei sigarét o dwll yn ei ffrog hi.,welsh,His cigarette burnt a hole in her dress.
Mae'r athro newydd yn y dosbarth.,welsh,The new teacher is in the classroom.
Mae'r athrawes newydd yn y dosbarth.,welsh,The new teacher is in the classroom.
Mae hi'n fyd creulon.,welsh,It's a cruel world.
Dw i'n hoffi bananas yn fwy nag afalau.,welsh,I like bananas more than apples.
Mi gaeodd o'r drws yn flin.,welsh,He angrily closed the door.
Mi gaeodd o'r drws yn flin.,welsh,He shut the door angrily.
"Mae gen ti gyfnod canolbwyntio iâr. ""Mae ieir yn blasus."" ""Fy mhwynt yn union.""",welsh,"You have the attention span of a chicken. ""Chickens are delicious."" ""My point exactly."""
"Mae gen ti gyfnod canolbwyntio iâr. ""Mae ieir yn blasus."" ""Fy mhwynt yn union.""",welsh,"You have the attention span of a chicken. ""Chickens are tasty."" ""My point exactly."""
"Ddoe, aeth fy chwaer i Kobe.",welsh,Yesterday my sister went to Kobe.
"Ddoe, aeth fy chwaer i Kobe.",welsh,"Yesterday, my sister went to Kobe."
Y broblem yw bod egni solar yn rhy ddrud.,welsh,The problem is that solar energy is too expensive.
Y broblem yw bod egni solar yn rhy ddrud.,welsh,The problem is that solar power is too expensive.
Mae'r bobl yn dioddef.,welsh,The people are suffering.
Mi dreuliodd o lawer o'i amser yn darllen.,welsh,He spent much of his time reading.
Mi dreuliodd o lawer o'i amser yn darllen.,welsh,He spent a lot of his time reading.
Gest ti amser da ddoe?,welsh,Did you have a good time yesterday?
Heddiw yw dydd Gwener.,welsh,Today is Friday.
Mae Tom a Mary yn chwarae Cluedo gyda'u ffrindiau.,welsh,Tom and Mary are playing Cluedo with their friends.
Mae'r myfyrwyr yn gwirioni at yr athro Saesneg newydd.,welsh,The students adore the new English teacher.
Mae'r myfyrwyr yn gwirioni at yr athrawes Saesneg newydd.,welsh,The students adore the new English teacher.
Does dim rhaid i Tom ymddiheuro i Mary.,welsh,Tom doesn't have to apologize to Mary.
Does dim rhaid i Tom ymddiheuro i Mary.,welsh,Tom doesn't have to apologise to Mary.
Pa fathau o frechdanau sydd gennych?,welsh,What types of sandwiches do you have?
Pa fathau o frechdanau sydd gennyt ti?,welsh,What types of sandwiches do you have?
Pa fathau o frechdanau sydd gennyt ti?,welsh,What sort of sandwiches do you have?
"Mae o'n sgrechian, nid canu.",welsh,"He's screaming, not singing."
"Mae o'n sgrechian, nid canu.",welsh,"He is screaming, not singing."
Mae o'n ddigon hen i fynd i'r ysgol.,welsh,He's old enough to go to school.
Mae o'n ddigon hen i fynd i'r ysgol.,welsh,He is old enough to go to school.
Beth ydy Tom yn darllen?,welsh,What's Tom reading?
Beth ydy Tom yn darllen?,welsh,What is Tom reading?
Mae o'n gweithio oriau hir.,welsh,He works long hours.
"Os wyt ti eisiau rhedeg, yna rheda.",welsh,"If you want to run, then run."
Graddiais o brifysgol eleni.,welsh,I graduated from university last year.
Sul y mamau hapus!,welsh,Happy Mother's Day!
Sul y mamau hapus!,welsh,Happy Mothering Sunday.
Ble mae'r banc agosaf?,welsh,Where's the nearest bank?
Ble mae'r banc agosaf?,welsh,Where is the nearest bank?
Rwy'n gweithio mewn banc.,welsh,I work in a bank.
Paid eistedd ar y bench na.,welsh,Don't sit on that bench.
Dw i'n mynd i ddysgu almanaeg.,welsh,I'm going to learn German.
Ydych chi'n siarad Saesneg?,welsh,Do you speak English?
Rhaid i chi ateb y cwestiwn.,welsh,You must answer the question.
Rhaid i chi ateb y cwestiwn.,welsh,You have to answer the question.
Mae e'n gallu darllen yn dda.,welsh,He can read pretty well.
Mae e'n gallu darllen yn dda.,welsh,He is good at reading.
Dydy Ellen ddim yn gallu siarad Cymraeg.,welsh,Ellen does not speak English.
Dydy Ellen ddim yn gallu siarad Cymraeg.,welsh,Ellen doesn't speak Welsh.
Mae Tom yn siarad.,welsh,Tom is talking.
Does dim cath gyda fi.,welsh,I don't have a cat.
Oes ci gyda fe?,welsh,Has he got a dog?
Oes ci gyda fe?,welsh,Does he have a dog?
Oes ci gyda hi?,welsh,Has she got a dog?
Oes ci gyda hi?,welsh,Does she have a dog?
Dych chi'n siarad.,welsh,You speak.
Dych chi'n siarad.,welsh,You are talking.
Wyt ti'n siarad.,welsh,You speak.
Wyt ti'n siarad.,welsh,Are you talking?
Dw i'n nofio yn y cefnfor.,welsh,I'm swimming in the ocean.
Mae'r nos yn dywyll.,welsh,The night is dark.
Mae'r coffi yn oer.,welsh,The coffee is cold.
Mae'r dŵr yn poeth.,welsh,The water is hot.
Mae'r dŵr yn lân.,welsh,The water is clean.
Mae'r tŷ yn mawr.,welsh,The house is big.
Mae'r dyn yn tal.,welsh,The man is tall.
Mae gen i ddwy gath.,welsh,I have two cats.
Mae gen i ddwy gath.,welsh,I have two female cats.
"Pan ydw i'n rhoi bwyd i'r tlodion, 'dw i'n cael 'ngalw i'n saint. Pan ydw i'n gofyn pam nag oes bwyd gyda'r tlodion, 'dw y'n cael 'ngalw i'n gomiwnydd.",welsh,"When I give food to the poor, they call me a saint. When I ask why the poor have no food, they call me a communist."
Gwelon nhw gath yn yr ardd.,welsh,They saw a cat in the garden.
Gwelodd y ddraig hi.,welsh,The dragon saw her.
Cerddon nhw adre.,welsh,They walked home.
Hoffwn i ymgeisio am y swydd honno.,welsh,I would like to apply for that job.
Mi brynais i docyn.,welsh,I bought a ticket.
Ni chafodd e ginio.,welsh,He didn't have lunch.
Phryna i mo'r car yfory.,welsh,I won't buy the car tomorrow.
Roedd yr afal yn flasus.,welsh,The apple was tasty.
Diflanodd yr hwyaden.,welsh,The duck disappeared.
Dw i'n casáu'r bwyd yn y ffreutur.,welsh,I hate the food in the refectory.
Dw i'n casáu'r bwyd yn y ffreutur.,welsh,I hate the food in the canteen.
Mae'r plant wedi anghofio eu gwaith cartref.,welsh,The children have forgotten their homework.
Mae hi fan hyn.,welsh,She is here.
Mae hi'n darllen.,welsh,She's reading.
Mae hi'n darllen.,welsh,She is reading.
Mae'r dyn yn cryf.,welsh,The man is strong.
Mae hi'n cantores.,welsh,She is a singer.
Mae gen i frawd hŷn.,welsh,I have an older brother.
Mae'n braf cwrdd â chi.,welsh,Pleased to meet you.
Mae'n braf cwrdd â chi.,welsh,It's nice to meet you.
Rydw i'n bwyta.,welsh,I'm eating.
Rydw i'n bwyta reis nawr.,welsh,I'm eating rice now.
Rydw i'n bwyta cinio.,welsh,I'm eating lunch.
Rydw i'n bwyta yma.,welsh,I'm eating here.
Maen nhw'n darllen llyfr.,welsh,They're reading a book.
