dialogue,classification,translation
Kane ka account kam iamynjur bad ki jingshisha.,khasi,This account does not agree with the facts.
Phi leh aiu na ka bynta ka team?,khasi,What do you do for the team?
Phi iohi ia ka kper?,khasi,Do you see the garden?
Ngam khot iaphi da ka kyrteng.,khasi,I'm not calling you by name.
Nga don u paralok.,khasi,I have a friend.
Nga don ka paralok.,khasi,I have a friend.
Nga don i paralok.,khasi,I have a friend.
Kumno phi tip u Tom u don hangto?,khasi,How do you know Tom is there?
Kumno me tip u Tom u don hangto?,khasi,How do you know Tom is there?
Kumno pha tip u Tom u don hangto?,khasi,How do you know Tom is there?
Ka khlem da long kumba nga mut.,khasi,It didn't work out quite like I intended it to.
Kumno kum kane ka jait jingjia ka lah ban jia?,khasi,How could this sort of thing possibly happen?
U khynnah u saitlah ban ngeit iau nonghikai.,khasi,The student refused to obey his teacher.
U khynnah u saitlah ban ngeit ia ka nonghikai.,khasi,The student refused to obey his teacher.
U khynnah u kyntait ban ngeit ia i nonghikai.,khasi,The student refused to obey his teacher.
Ka khynnah ka saitlah ban ngeit ia u nonghikai.,khasi,The student refused to obey his teacher.
"Ai ki nong-Bilat bad ki nong-Frans kin shim lut iaka jaka katba ki kwah, Ong u rangbahduh ki Indian. ""Hynrei ki kwah ban shim lut iaka jaka kaba don hapdeng ka duriaw Atlantik bad duriaw Pasifik, biang kata?"", Ong u Tom.",khasi,"Let the English and the French take all the land they want, said the Indian chief. ""But they want to take all the land between the Atlantic Ocean and the Pacific Ocean. Is that OK?"" said Tom."
Phi dei ban pyndonkam deo.,khasi,You should use a deodorant.
U Tom u khlem pynap slem ia ka Mary.,khasi,Tom didn't keep Mary waiting too long.
Nga tharai u Tom un nym kwah ia kato.,khasi,My guess is that Tom isn't going to want that.
Ka pynshrai bha.,khasi,It's really annoying.
"Phi ia mynjur bad u Tom, dei?",khasi,"You agree with Tom, don't you?"
"Phi ia mynjur bad u Tom, dei?",khasi,"You agree with Tom, right?"
Ka long ka bymlahlong ban shna.,khasi,It's impossible to fix.
Ka dei baroh ba phi lah ban leh shisha.,khasi,It's all you can really do.
U Tom um poi-pyrkhat kumno ka ka jinglong jong u ka ktah ia kiwei.,khasi,Tom doesn't realise how his behaviour affects others.
Ka jaka ka sboh bha.,khasi,The land is very fertile.
Ka khyndew ka sboh bha.,khasi,The land is very fertile.
Jied iwei.,khasi,Choose one.
Jied uwei.,khasi,Choose one.
Jied kawei.,khasi,Choose one.
Kwah iwei?,khasi,Want one?
Kwah uwei?,khasi,Want one?
Kwah kawei?,khasi,Want one?
Sngewbha try iwei.,khasi,Please try one.
Sngewbha try uwei.,khasi,Please try one.
Sngewbha try kawei.,khasi,Please try one.
Sngewbha pyrshang uwei.,khasi,Please try one.
Sngewbha pyrshang kawei.,khasi,Please try one.
Sngewbha pyrshang iwei.,khasi,Please try one.
"Ynda nga lah kyndit, nga lah don ha kali.",khasi,"When I woke up, I was in the car."
U Tom u dang shu dep pynkhreh.,khasi,Tom is just finishing setting up.
U Tom u lah pynjah ia ka kamera jong u ha Boston.,khasi,Tom lost his camera in Boston.
U Tom um ju iohi ia ka Mary.,khasi,Tom never saw Mary.
Ngin leh katba lah ban phah ia i khun jongngi sha ka iuniversity ba bha.,khasi,We'll go to any length to send our child to a good university.
Ka phong ka coat shñiuh.,khasi,She was wearing a fur coat.
U rung ha bank da kaba riam kum u nongap.,khasi,He entered the bank disguised as a guard.
"Ia u Mayor ka Toronto, la lap ba u dih crack.",khasi,Toronto's mayor was caught on tape smoking crack.
U Tom u lah pyrshang ban sdang biang ia ka kali hynrei um leh.,khasi,"Tom tried to restart the car, but couldn't."
U Tom u shoh shwa ianga.,khasi,Tom hit me first.
Nga dang wad dukan khapsñiuh.,khasi,I was looking for the barbershop.
Pynjaijai.,khasi,Cool off!
Long jaijai,khasi,Be cool.
Nga pang jingshong.,khasi,My butt hurts.
Jingshong jongnga ka pang.,khasi,My butt hurts.
Ngan kynjat jingshong jongphi.,khasi,I'll kick your butt!
Rieh!,khasi,Take cover!
Tap ki khmat.,khasi,Cover your eyes.
Sngewbha tap ialade.,khasi,Please cover yourself.
Ka ksieh ia kawei ka miaw.,khasi,She strangled a cat.
Ai sha.,khasi,Give tea.
Wanrah sha.,khasi,Bring tea.
Phi dih sha.,khasi,You drink tea.
Pha ia dih sha.,khasi,You drink tea.
Me ia dih sha.,khasi,You drink tea.
Pha dih sha.,khasi,You drink tea.
Me dih sha.,khasi,You drink tea.
Phi ia dih sha.,khasi,You drink tea.
U D.H. Lawrence u dei u nongthoh novel bad u nongthoh poetry.,khasi,D.H. Lawrence is a novelist and poet.
Phi mut ba nga leh bakla?,khasi,Do you think I'm making a mistake?
Me mut ba nga leh bakla?,khasi,Do you think I'm making a mistake?
Pha mut ba nga leh bakla?,khasi,Do you think I'm making a mistake?
Pule kane ka kot.,khasi,Read this book.
Ka thoh ianga ka shithi bajrong.,khasi,She wrote me a long letter.
Peit.,khasi,Watch.
Peit ialade.,khasi,Watch yourself.
Da peit!,khasi,Watch out!
Leh bha!,khasi,Watch out!
Da peit bha!,khasi,Watch out!
Mih!,khasi,Leave!
Phet!,khasi,Leave!
Iehnoh!,khasi,Leave!
Phi thied eiei ianga?,khasi,Did you buy me anything?
Tan!,khasi,Pull!
Tan kan plie.,khasi,Pull it open.
Pyneh!,khasi,Pull yourself together!
Pyneh ialade!,khasi,Pull yourself together!
Bapli ka miaw.,khasi,Poor cat.
Ka miaw bapli.,khasi,Poor cat.
Bapli u miaw.,khasi,Poor cat.
U miaw bapli.,khasi,Poor cat.
Bapli i miaw.,khasi,Poor cat.
I miaw bapli.,khasi,Poor cat.
Nga tharai nga lah ban tip haei ban wad i'u Tom.,khasi,I think I may know where to find Tom.
Nga tharai nga tip hangno ban wad i'u Tom,khasi,I think I may know where to find Tom.
Nga tharai nga tip shaei ban wad i'u Tom.,khasi,I think I may know where to find Tom.
Nga tharai nga tip shano ban wad i'u Tom.,khasi,I think I may know where to find Tom.
Baroh ki han-blei ki lieh.,khasi,All swans are white.
Ki han-blei ki lieh lut.,khasi,All swans are white.
Ki lieh lut ki han-blei.,khasi,All swans are white.
Shano phi don?,khasi,Where are you?
Shaei phi don?,khasi,Where are you?
Masi bakhuid!,khasi,Holy cow!
Ki masi ki ai dud.,khasi,Cows give milk.
Ki masi ki bam phlang.,khasi,Cows eat grass.
ki masi ki don reng.,khasi,Cows have horns.
Ki masi ki im da u phlang.,khasi,Cows live on grass.
Ki masi ki ai iangi ka dud.,khasi,Cows give us milk.
Ki masi ki ai dud iangi.,khasi,Cows give us milk.
U don shiphew tylli ki masi.,khasi,He has ten cows.
Iaishah bad nga.,khasi,Bear with me.
Iashah bad nga.,khasi,Bear with me.
Ban iaishah ka lah ban long ka bymlah ban iaishah.,khasi,Bearing can be unbearable.
Ka jingiaishah ka lah ban long ka bymlah ban iaishah.,khasi,Bearing can be unbearable.
Ka jingshisha ka pynmih ia ka jingisih.,khasi,The truth bears hatred.
Ka jingshisha ka pyni iaka jingisat.,khasi,The truth bears hatred.
Ka jingshisha ka pynmih ia ka jingiashun.,khasi,The truth bears hatred.
Ki dngiem ki lah ban kiew dieng.,khasi,Bears can climb trees.
U dngiem u dait ialade.,khasi,The bear bites itself.
Hangne sah uwei u dngiem.,khasi,Here lives one bear.
Mih mynta.,khasi,Leave now.
Ngi kren nongjapan.,khasi,We speak Japanese.
Ki dei ki nongjapan?,khasi,Are they Japanese?
Balei ba nga hap ban nang french.,khasi,Why do I need to learn French?
Peit shadien jong phi.,khasi,Look behind you.
Peit shadien jong me.,khasi,Look behind you.
Peit shadien jong pha.,khasi,Look behind you.
Peit hadien jong phi.,khasi,Look behind you.
Peit hadien jong me.,khasi,Look behind you.
Peit hadien jong pha.,khasi,Look behind you.
Ieh shadien.,khasi,Leave it behind.
"Tom, hadien jong me!",khasi,"Tom, behind you!"
"Tom, hadien me!",khasi,"Tom, behind you!"
"Tom, hadien jong phi!",khasi,"Tom, behind you!"
"Tom, hadien phi!",khasi,"Tom, behind you!"
"Tom, shadien jong me!",khasi,"Tom, behind you!"
"Tom, shadien me!",khasi,"Tom, behind you!"
"Tom, shadien jong phi!",khasi,"Tom, behind you!"
"Tom, shadien phi!",khasi,"Tom, behind you!"
"Tom, nadien jong phi!",khasi,"Tom, behind you!"
"Tom, nadien phi!",khasi,"Tom, behind you!"
"Tom, nadien jong me!",khasi,"Tom, behind you!"
"Tom, nadien me!",khasi,"Tom, behind you!"
U don phra snem.,khasi,He is eight.
U lah don phra snem.,khasi,He is eight.
U mih phra baje.,khasi,He leaves at eight.
U mih por phra baje.,khasi,He leaves at eight.
Ka Emily ka isih ia ki painkhana.,khasi,Emily hates toilets.
Ka painkhana ka don shajrong.,khasi,The toilet is upstairs.
Ka painkhana ka don hajrong.,khasi,The toilet is upstairs.
Ka painkhana ka don shalor.,khasi,The toilet is upstairs.
Ka painkhana ka don halor.,khasi,The toilet is upstairs.
Shaei ka painkhana?,khasi,Where is the toilet?
Haei ka painkhana?,khasi,Where is the toilet?
Shano ka painkhana?,khasi,Where is the toilet?
Hangno ka painkhana?,khasi,Where is the toilet?
Kiei kito?,khasi,What are those?
Kito kidei kiei?,khasi,What are those?
Kito kidei ki nombar aiu?,khasi,What are those numbers?
Kiei kito ki nombar?,khasi,What are those numbers?
La khot kumno ia kito?,khasi,What are those called?
La khot aiu ia kito?,khasi,What are those called?
Khot kumno ia kito?,khasi,What are those called?
Khot aiu ia kito?,khasi,What are those called?
Shong khop.,khasi,Sit tight.
Shong beit.,khasi,Sit tight.
Sngewbha shong.,khasi,Please sit.
Haei phi don mynta?,khasi,Where are you now?
Katno baje mynta?,khasi,What time is it now?
Khublei shibun!,khasi,Thank you very much!
Ym lei lei.,khasi,You're welcome.
Nga ieid iaphi.,khasi,I love you.
Sa iapeit lashai.,khasi,See you tomorrow.
Phi don por lashai?,khasi,Do you have time tomorrow?
"Hooid, nga don por lashai.",khasi,"Yes, I have time tomorrow."
Nga leid ia ktien japan bad korea.,khasi,I like Chinese and Japanese.
Ka slap.,khasi,It is raining.
Ka slap.,khasi,It's raining.
Em kam slap.,khasi,It is not raining.
Ka jingdom ka dei ka bor.,khasi,Anger is an energy.
Ngi leit sha iew.,khasi,We are going to the market.
U kofi u ai bor iaphi.,khasi,Coffee gives you energy!
Ngam don bor.,khasi,I have no energy.
Ngam tip.,khasi,I don't know.
Nga donkam iaphi.,khasi,I need you.
Ki khynnah ki donkam jingieid.,khasi,Children need loving.
Nga donkam ia kane.,khasi,I need this.
Nga donkam kane.,khasi,I need this.
Nga nang ban jngi.,khasi,I know how to swim.
Ka donkam ban sait.,khasi,It needs washing.
Ngam nang ban jngi.,khasi,I don't know how to swim.
U Jisu u iam.,khasi,Jesus wept.
Jisu khrist!,khasi,Jesus Christ!
U Jisu u jubab iaki.,khasi,Jesus answered them.
U Jisu u isih iaphi.,khasi,Jesus hates you.
U Jisu u ieid iaphi.,khasi,Jesus loves you.
"Khublei, Jisu.",khasi,"Thank you, Jesus."
Nga kyrteng Tom.,khasi,My name is Tom.
Nga kyrteng Tom.,khasi,My name's Tom.
Phi kyrteng aiu?,khasi,What is your name?
Phi kyrteng aiu?,khasi,What's your name?
Kaei ka kyrteng jongphi?,khasi,What is your name?
Phi leh aiu?,khasi,What are you doing?
Ngam don por.,khasi,I don't have time.
Kane ka dei ka miaw.,khasi,This is a cat.
Nga dang bam ja.,khasi,I am eating rice.
Kane kam dei ka miaw. Une udei u ksew.,khasi,This is not a cat. This is a dog.
Nga shu ongkai.,khasi,I'm just joking.
Haoid kein.,khasi,Of course.
Ka khriat bha mynta ka sngi.,khasi,It is very cold today.
Ngam pat don khun.,khasi,I don't have any children yet.
Khlieng ki tiar.,khasi,Wash the dishes.
Sait ki tiar.,khasi,Wash the dishes.
Khlieng ki pliang.,khasi,Wash the dishes.
Sait ki pliang.,khasi,Wash the dishes.
Thet ki kti.,khasi,Wash your hands.
Sait ki kti.,khasi,Wash your hands.
Bta ka khmat.,khasi,Wash your face.
Sait ka khmat.,khasi,Wash your face.
Kine ki dei ki khulom.,khasi,These are pens.
Ai sha nga u khulom.,khasi,Pass me the pen.
Ai ha nga u khulom.,khasi,Pass me the pen.
Kine ki khulom kidei jong u.,khasi,These pens are his.
Kine ki dei ki khulom jong u.,khasi,These pens are his.
Khulom jongno kine?,khasi,Whose are these pens?
Kine ki khulom jongno?,khasi,Whose are these pens?
Jongno kine ki khulom?,khasi,Whose are these pens?
Nga iohsngew ba u lah ban pynkylla ktien na ka hebrew hyndai.,khasi,I heard that he could even translate from Ancient Hebrew.
Namar ka sngewshitom.,khasi,Because she felt sick.
Namar ka don hangto.,khasi,Because it is there.
Da peit ka lynti.,khasi,Watch the road.
Da peit ka surok.,khasi,Watch the road.
"Bha bha, khublei.",khasi,"Very good, thank you."
"Biang bha, khublei.",khasi,"Very good, thank you."
Phi kyllut?,khasi,Are you deaf?
Phi kyllut ne?,khasi,Are you deaf?
Pha kyllut?,khasi,Are you deaf?
Pha kyllut ne?,khasi,Are you deaf?
Me kyllut?,khasi,Are you deaf?
Me kyllut ne?,khasi,Are you deaf?
Sa shisien.,khasi,One more time.
Sa shisien seh.,khasi,"One more time, please."
Sa shisien sngewbha.,khasi,"One more time, please."
Don sa kawei.,khasi,There's one more.
Don sa iwei.,khasi,There's one more.
Don sa uwei.,khasi,There's one more.
Kumno ka long ka jingpule jongme?,khasi,How are your studies going?
Ngan sa leh.,khasi,I will do it.
Phi kyrteng kumno?,khasi,What is your name?
Kumno phi kyrteng?,khasi,What is your name?
Kyrteng kumno phi?,khasi,What is your name?
Kyrteng kumno maphi?,khasi,What is your name?
Kyrteng aiu phi?,khasi,What is your name?
Kyrteng aiu maphi?,khasi,What is your name?
U Tom u hap ban siew ka kuna namar ba u pynieng kali ha bymdei.,khasi,Tom had to pay a fine because he parked in the wrong place.
Balei ia kane hap ban pyndep?,khasi,Why does this have to be done?
"Shisien ka por la don u syiem bad ka syiem, bad ki don u khun ba kyrteng u Sigurd uba khlain ba smat, bad ba bhabriew bha.",khasi,"There were once a King and a Queen, and they had a son called Sigurd, who was very strong and active, and good-looking."
U Tom u ong ba dei tang ka jingphohsniew.,khasi,Tom said it was all like a dream.
U pitbull jong u Dan u dait ia i ksew barit jong ka Linda.,khasi,Dan's pitbull attacked Linda's small dog.
Ka Germany ka dei ka ri ba khriat.,khasi,Germany is a cold country.
"Nga kwah ban wai kali, pyni ki dor seh.",khasi,"I want to rent a car, please show me a price list."
"Ha ka jingshisha, u Tom u iathuh ia nga ba ngam dei ban wan shuh ha iing jong u.",khasi,"In fact, Tom told me never to come back to his house again."
Nga dang shu khie.,khasi,I just got up.
Phi iohthiah bha?,khasi,Did you have a good sleep?
Ka pyndom ia u.,khasi,She teased him.
Ka pynshrai ia u.,khasi,She teased him.
U practice tem guitar baroh shi miet.,khasi,He practices playing the guitar far into the night.
U Tom u rkhie mynba ka Mary ka peit ia u.,khasi,Tom smiled when Mary looked at him.
U Tom u rymmuin mynba ka Mary ka peit ia u.,khasi,Tom smiled when Mary looked at him.
Nga khlem tip balei.,khasi,I didn't know why.
Ngam tip balei.,khasi,I didn't know why.
U Tom u i hok.,khasi,Tom seems sincere.
Nga khlem don por tang ban airong ruh.,khasi,I didn't even have time to paint!
Ngam kwah ban pynthut iaphi.,khasi,I don't want to disturb you.
Mano thngan?,khasi,Who's hungry?
Mano ba thngan?,khasi,Who's hungry?
Mano ba lah thngan?,khasi,Who's hungry?
Phim dei tang maphi ba thngan?,khasi,You're not the only one who's hungry.
Mem dei tang mame ba thngan.,khasi,You're not the only one who's hungry.
Ngam dei tang manga ba thngan.,khasi,I'm not the only one who's hungry.
Kumno la pyndonkam iakane ka kamera.,khasi,How do you use this camera?
Ka ksem jong u ka sma.,khasi,His fart smelled.
Ban ksem ka long kaba khlemakor.,khasi,Farting is rude.
Ban ksem ka long khlemakor.,khasi,Farting is rude.
Phi nang ban pyndonkam ia ki chopsticks?,khasi,Do you know how to use chopsticks?
Phi nang kumno ban pyndonkam ia ki chopsticks?,khasi,Do you know how to use chopsticks?
Ka bha kane.,khasi,This is good.
Ka best kane.,khasi,This is good.
Ka bha bha kane.,khasi,This is very good.
Ka best bha kane.,khasi,This is very good.
Phi sngewtynnad ka film?,khasi,Do you like the movie?
Phi best ka film?,khasi,Do you like the movie?
"Ha kawei pat ka por, wat pynhap iaka.",khasi,"Next time, don't drop it."
Phin nym doh ianga?,khasi,Aren't you going to give me a kiss?
U Tom bad u John ki ia ak kumba dei shipara.,khasi,Tom and John pretended to be brothers.
U Tom bad u John ki ia leh kumba dei shipara.,khasi,Tom and John pretended to be brothers.
Phim lah ban lait nanga.,khasi,You can't escape from me.
Phim lah ban phet nanga.,khasi,You can't escape from me.
Phin ym lah ban lait nanga.,khasi,You can't escape from me.
Phin ym lah ban phet nanga.,khasi,You can't escape from me.
Phin nym lah ban lait nanga.,khasi,You can't escape from me.
Phin nym lah ban phet nanga.,khasi,You can't escape from me.
Men ym lah ban lait nanga.,khasi,You can't escape from me.
Mem lah ban lait nanga.,khasi,You can't escape from me.
Men nym lah ban lait nanga.,khasi,You can't escape from me.
Men ym lah ban phet nanga.,khasi,You can't escape from me.
Men nym lah ban phet nanga.,khasi,You can't escape from me.
Pham lah ban lait nanga.,khasi,You can't escape from me.
Phan ym lah ban lait nanga.,khasi,You can't escape from me.
Phan nym lah ban lait nanga.,khasi,You can't escape from me.
Lah bieij?,khasi,Are you crazy?
Phi lah bieij ne?,khasi,Are you crazy?
Me lah bieij ne?,khasi,Are you crazy?
Pha lah bieij ne?,khasi,Are you crazy?
Ym donkam ban leh iakato.,khasi,There is no necessity for you to do that.
Ym donkam ban leh iakata.,khasi,There is no necessity for you to do that.
"Namar ka bit iaka ka para jong ka, ngam nang pyniapher ia ki.",khasi,"Because she takes after her younger sister, I cannot tell one from the other."
Phi sted bha ban buh ki sentence nga hangto.,khasi,You're very fast at putting my sentences there.
Phi kloi bha ban buh ki sentence nga hangto.,khasi,You're very fast at putting my sentences there.
Nga dang pule Japanese.,khasi,I am learning Japanese.
U kynjat iaka.,khasi,He kicked it.
Nga iohi ia u lum.,khasi,I saw the hill.
U lum u jyrngam beit.,khasi,The hill is always green.
Ngi iaid shajrong u lum.,khasi,I walked up the hill.
U Brian u sah hajrong u lum.,khasi,Brian lives over the hill.
Kan nym her.,khasi,It won't fly!
In nym her.,khasi,It won't fly!
"Ka khlaw la sop da u ior, bad ki janmiet ki kynjah katba ki mrad ki iohthiah ha ki miet tlang ba khriat.",khasi,The forest was covered with snow and the evenings were quiet as animals slept through the cold winter nights.
U Tom u kdup ia ka Mary bad u doh iaka ngap jongka.,khasi,Tom put his arm around Mary and kissed her cheek.
Ka wah ka tuid.,khasi,A river flows.
Ka wah ka lah shlei.,khasi,The river overflowed.
Nyllong me!,khasi,My ass!
Doh jingshong jongnga.,khasi,Kiss my ass.
Adi!,khasi,Ouch!
Ada!,khasi,Ouch!
Nga shu pynthikna.,khasi,I was just making sure.
Ngi lah ban ong ba kito ki ball ki don katjuh ka jingkhia.,khasi,We could say that both of those balls are the same weight.
Peit ha ka dur.,khasi,Look at the picture.
Phi lah ban iathuh ia nga lashai.,khasi,You can tell me tomorrow.
Shi drop ka syep ka jaw na moimoi jong u.,khasi,A drop of sweat ran down his temple.
"Shuh shuh lada peit na ki dong, ki bniat khmat ki mih.",khasi,"Moreover, when viewed from the side, the front teeth are protruding."
Ngam kwah ban tip eiei shaphang u Tom.,khasi,I don't want to know anything about Tom.
U Jupiter u heh haduh katta-katta ba baroh ki kiwei-kiwei ki metbneng ha solar system ki lah ban ñiam hapoh jong u.,khasi,Jupiter is so large that all of the other planets in the solar system could fit inside of it.
"Nga tharai ka bha ba ki kot ki dang don, hynrei ki pynsamthiah ia nga.",khasi,"I think it is good that books still exist, but they do make me sleepy."
U Tom u aikam ianga ban airong iaka iing jong u.,khasi,Tom hired me to paint his house.
U Tom u buh iaka suloi hapoh u syngkhlieh.,khasi,Tom put his pistol under the pillow.
Nga khlem tam.,khasi,I didn't pick it up.
Nga khlem khar.,khasi,I didn't pick it up.
U dei u dieng bajrong tam ba nga lah iohi.,khasi,It is the tallest tree that I ever saw.
Nga hap ban ai jop ia ka.,khasi,I had to let her win.
Nga hap ban ailad ba kan jop maka.,khasi,I had to let her win.
U Tom u kwah aiu tip.,khasi,I wonder what Tom wants.
Ki briew ki iakren ha kajuh ka por.,khasi,People are speaking at the same time.
U Tom u ioh mih na patok hadien 30 snem.,khasi,Tom got out of prison after 30 years.
Iei i Disney character ba best tam maphi?,khasi,Who's your favorite Disney character?
Phim donkam ban leit skul lashai.,khasi,You don't have to go to school tomorrow.
Nga lah shah pynthut da ka jingiam i khyllung.,khasi,I was bothered by the baby's crying.
Nga dei.,khasi,I am.
Nga lah wan.,khasi,I am coming.
U Tom bad ka Mary ki ia jan bha.,khasi,Tom and Mary are very close.
Khublei ba phi lah pynshet iaka um.,khasi,Thank you for boiling the water.
U duh ia ka kam jong u lyngba ka jingbymshimkhia jong u.,khasi,He lost his job through his irresponsibility.
Ka Mary ka lah ialam bakla ia phi.,khasi,Mary misled you.
Phi dei maphi ba hap siew iaka bill.,khasi,You're the one who should pay the bill.
Ngim ju kren phareng hangne.,khasi,English is not spoken here.
Nga shim iaka kum ka dak jingkyrmen.,khasi,I take it as a sign of hope.
Nga shu kylli.,khasi,I'm just asking.
"U Tom u pyrshang ban doh iaka Mary, hynrei ka ran dien.",khasi,"Tom tried to kiss Mary, but she leaned back."
Kumno phi long?,khasi,How are you?
Ka pyrthei ka shad pyllun.,khasi,The earth rotates.
Ieid iaka pyrthei.,khasi,Love the earth.
Ka pyrthei ka rkhie da ki syntiew.,khasi,Earth laughs in flowers.
Ngi sah ha pyrthei.,khasi,We live on Earth.
Nga thngan palat!,khasi,I'm so hungry!
Nga lah thngan palat.,khasi,I'm so hungry!
"Ngi khlem iohpateng iakane ka pyrthei na ki mynbarim jongngi, ngi pankylliang na ki khun jongngi.",khasi,"We do not inherit the earth from our ancestors, we borrow it from our children."
Nga don jingieng.,khasi,I have an erection.
U Ned u bad pynieng iaka lama.,khasi,Ned held the flag erect.
U Tom u deng ka iitkhmat jongu.,khasi,Tom put on his sunglasses.
Nga ieid ia u Blei,khasi,I love God.
Shijur ki sohshkor ki long ki jingai ba itynnad iaka.,khasi,A pair of earrings is a nice present for her.
Ka jingstad!,khasi,How smart!
Ka jingbieij.,khasi,How foolish!
Ka jingiskuin.,khasi,How cute!
Ka jingsngewtynnad!,khasi,How wonderful!
Wat khuslai.,khasi,Don't worry.
U Tom u lah smai ba un nym leh shuh iakato.,khasi,Tom has promised he won't do that anymore.
Phi kwah ban wan shong bad nga?,khasi,Do you want to come sit by me?
Bam!,khasi,Eat!
Bam lut.,khasi,Eat everything.
Bam baroh.,khasi,Eat everything.
Bam barohkhoit.,khasi,Eat everything.
Nga bam.,khasi,I eat.
Bam shaw.,khasi,Eat noodles.
Bam soh!,khasi,Eat fruits!
Bam suki.,khasi,Eat slowly.
Ieng!,khasi,Stand up!
Ieng joit!,khasi,Stand up!
Shuh.,khasi,Stand aside.
Shuh shatai.,khasi,Stand aside.
Wat wit.,khasi,Stand aside.
Shuh nangne.,khasi,Stand aside.
Ieng beit!,khasi,Stand still!
Ieng khop!,khasi,Stand still!
Song ki tiar.,khasi,Pack your bags.
Song ki pla.,khasi,Pack your bags.
Lum ki pla.,khasi,Pack your bags.
Lum ki tiar.,khasi,Pack your bags.
"Kane kadei ka pakha ba khylliap, bad plie iaka kumne. Kadei naka bynta ki sngi lyiur ba shit.",khasi,"This is a folding fan, and this is how you open it. It's for hot summer days."
Ka shit.,khasi,It's hot.
Ka khluit.,khasi,It's hot.
Ka shit mynta.,khasi,It's hot today.
Ka shit mynta ka sngi.,khasi,It's hot today.
Ka shit palat.,khasi,It's too hot.
Ka khluit palat.,khasi,It's too hot.
Ka siat iaka helicopter.,khasi,She shot down a helicopter.
Tam.,khasi,Pick it up.
Khar.,khasi,Pick it up.
Ka kheit syntiew.,khasi,She picked flowers.
Ka phut syntiew.,khasi,She picked flowers.
Ka tam syntiew.,khasi,She picked flowers.
Ka khar syntiew.,khasi,She picked flowers.
Nga kwah klet noh shaphang kato.,khasi,I just want to forget about it.
Nga sngew kumba nga tuh iaki sentence jong phi.,khasi,I feel like I'm stealing your sentences.
U ban iaka khyllung.,khasi,He is lying on the baby.
