dialogue,classification,translation
Té na; ó mai,maori,Deliver them to me.
Ka máte óki 'au e táhi rákau mo tóku kaipúke.,maori,I want some timber for my ship.
E hía rákau?,maori,How many trees?
E dúa ra te kau,maori,Twenty.
E'aha kóia tóu méa e óko ki te rákau?,maori,What hast thou to exchange for trees?
E tóki ra,maori,Axes.
E hía tóki?,maori,How many axes?
E íwa,maori,Nine.
Máku e túa e táhi rákau móu ne?,maori,Shall I fell some trees for thee?
Máu ra óki,maori,Thou mayest.
Ka hoi ra óki 'au,maori,I am going (or sailing).
Hoi átu ra!,maori,A prosperous voyage (to you)!
"Ka óre óu rákau, E' mara?",maori,"Hast thou no timber, Sir?"
Ka óre ra óki e rákau ki tóku káinga. E káinga rákau kóre ra óki tóku.,maori,produces no wood.
Kohéa koe?,maori,Where art thou going?
Ko Tepúna ra óki 'au.,maori,To Tepúna.
Ahéa koe e pátu ki te tóki?,maori,When wilt thou make axes?
Ná! Ki a wai kúmara ki te wáre ka pátu ra óki 'au.,maori,"See! When there are sweet potatoes in the house, I will make them."
E íaha táu méanga mai ki 'au?,maori,Why do you follow me?
Ka óre; e ánga no áno.,maori,For no reason at all.
Nohéa koe?,maori,Where hast thou been?
No te móana ra óki; no te hí.,maori,I am come from the sea; from fishing.
E íka áno?,maori,Are there any fish?
"E íka ra óki, e tíni: e kóre e máunu.",maori,"There are fish, very many: they will not bite."
E'aha te méa máunu?,maori,What is the bait?
E ngáko pórka ra óki.,maori,The fat of a hog.
"Méa kíno, émara: e íka te méa pai.",maori,"A bad thing, Sir: fish is better."
Kóia ra. Ka óre áku; e porka táku.,maori,Truly. I have none; mine is pork.
Ténei te íka móu,maori,Here is some fish for thee.
"I ko nei koe né? Ki a e óki mai 'au, ka kórero táu'.",maori,"Wilt thou abide here? When I return, we will converse."
Aire ra; ki e á e óro.,maori,Go. Make haste.
E'mara ma! ma wai óki e tá tá e táhi wáhia mo tóku wáre?,maori,O sirs! who will cut fire: wood for my house?
Ma máua ko Tékeha,maori,I and Téekeha.
"Ténei nga tóki ma kodúa e óroi, e pu e óki áno.",maori,"These are the axes: you two grind them, they are blunt."
"E'aha te útu mo máua, mo te tángata tá tá?",maori,"What will be given us, who cut the fire-wood?"
E tóki ra óki,maori,Axes.
Ma wai óti e tére?,maori,Who will carry (the wood)?
Ma nga tíni kotíro ra óki.,maori,The girls.
E'aha te útu mo te kai tére?,maori,What are they to receive?
E matau ra óki,maori,A fish-hook.
E ói?,maori,Is that all?
"E ói, Méa pai ra óki; méa núi; e matau ko táhi, me te kai kadúa, ka óra.",maori,"It is all. A good thing, a great thing; a fish-hook one, victuals two, satisfied."
"Ka aire tátu, émara ma, ki te korohá.",maori,"Let us go, Sirs, into the bush."
Ko té aha óti i reira?,maori,What to do there?
Ko te tákaro,maori,To play.
E wátu ána ra óki 'au ki táku kakahu; e kóre 'au e tai.,maori,I am working at my garment; I will not go.
Ahéa óti ai?,maori,When wilt thou finish?
"Méa ka óti kóia péa, á te ai ai óti ai.",maori,I have nearly finished: I finish it in the evening.
Ma táua e wátu né?,maori,Let us both work; shall we?
Aire mai ra. Tenei tóu míro míro.,maori,Come. Here is three for thee.
Ná! Ka óti; ka aire táu'.,maori,Lo! it is finished; let us go?
O átu ra,maori,Go on.
O mai tóku wítiki,maori,Give me my belt.
Ténei ra,maori,Here it is.
Ko wai kóia te pá o Waikáto?,maori,What is the name of Waikáto's village?
Ko Rangi Houa ra óki.,maori,Rangi Houa.
E nóho ána óti te pákeha ki reira?,maori,Do Europeans dwell there?
E nóho ána ra óki ki Hóyi.,maori,They dwell at Hóyi.
E íwi áta wai óti te tángata máodi ki te pákeha?,maori,Do the people of the land deal peaceably with the Europeans?
"E íwi áta wai ra óki; e pai ána; ka óre ra óki e dídinga, ka óre e tútu, ka óre e méa.",maori,"The people behave peaceably: they are pleased: there is no quarrelling, teazing, or any thing."
Ka máodi tía te pákeha?,maori,Are the Europeans naturalized?
K'wai óki 'au ka kíte'?,maori,How can I tell you?
Ke ihéa kóia tóa tuakúna?,maori,Where is thy brother?
Ke Wánga róa,maori,At Wánga róa.
Eahána ía i reira?,maori,What is he doing there?
E ádu ádu wahíne ána.,maori,He is seeking a wife.
K'wai ra te wahíne?,maori,Who is the woman?
Ko méa; ko Téku,maori,Such an one; Téku.
E pai ána óti te matúa?,maori,Is the parent agreeable?
E pai ána ra óki ía: e dídi ána te tungáne,maori,He is agreeable: the brother is displeased.
E kóre te tungáne e tukúa?,maori,Will not the brother consent?
E kóre.,maori,He will not.
E'aha tána méa dídi?,maori,What is the cause of his anger?
E útu kóre ra óki: ka óre e tuwahíne no te táne.,maori,There is no person in exchange. The intended husband has no sister.
Nohéa kodúa?,maori,Where have you two been?
"No E O'ki A'nga, ko máua, ko Túma.",maori,"We are from E Oki Anga, I and Tuma."
Ka kíte' óti koe te wáha pu?,maori,Hast thou seen the heads of the harbour?
Ka kíte' ra óki 'au,maori,I have seen them.
Ka tápoko te kaipúke o Yuropi?,maori,Can European vessels enter.
"Pe óki; ka tápoko ra nei, ka óre ra nei.",maori,"Perhaps so; perhaps enter, perhaps not."
E áwa pai óti E O'ki A'nga?,maori,Is E Oki Anga a fine river?
E áwa pai ra óki; e áwa róa; e áwahohónu.,maori,A fine river; a long river; a deep river.
K'wai ra te tángata i árahi kodúa ki reira?,maori,Who conducted you thither?
"Ko Waikáto ra óki, ko ráua ko Ngau.",maori,Waikáto and Ngau.
E'aha te útu' ki te kai árahi kodúa?,maori,What did you give to your conductors?
Ka óre ra óki e útu'. E aire ána ráua óki ki a kíte' to ráua íwi.,maori,We gave nothing. They were going to see their tribe.
K'wai ra te ránga tíra o te wáha pu?,maori,Who is the proprietor of the heads of the river?
Ko Te Mángina ra óki.,maori,Te Mángina.
E Tohúnga pe óki ía?,maori,Perhaps he is a priest?
E Tohúnga ra óki: e karakía ána ra óki ki te ngádu.,maori,A priest. He invokes the waves.
K'wai óki te ránga tíra o Pá Kanai?,maori,Who is the chief of Pá Kanai.
Ko te I'ka ra óki,maori,I'ka.
E hía kai ána tóku,maori,I am hungry.
Ténei te kai máu,maori,There is some food for thee.
Máku te táhi táro,maori,Give me some bread.
"Ka óre áku, e kai máodi táku.",maori,I have none. I have only sweet potatoes.
E táhi wai móku,maori,Give me some water.
Ténei te wai móu: ínu mía koe.,maori,Here is water for thee: drink thou.
Ka makúna ra óki 'au,maori,I am satisfied.
Máku te táhi matau,maori,Give me a fish-hook?
Ka óre áku matau,maori,I have no fish-hook.
Móku te táhi tóki,maori,Give me an axe.
"E'aha táu méa kadíro i 'au, o átu tóku tóki ki á koe?",maori,"What hast thou given me, that I should give my axe to thee?"
Ka óre. Mo te ó mai nóa ra óki.,maori,Nothing. I want it for nothing.
E ai na!,maori,No indeed!
Ka máte 'au e táhi rákau mo tóku wáre?,maori,I am in want of timber for my house.
E káinga rákau ra óki tóku káinga.,maori,There is wood at my place.
E kóre óti koe e pai kía túa e táhi rákau móku?,maori,Art not thou willing to fell some wood for me?
E pai ána ra óki 'au. E'aha te útu'?,maori,I am willing. What is the exchange for it?
E tóki ra óki,maori,Axes.
"Kía kíte' 'au, máku e eréa.",maori,"Let me see them, and mark them."
Ténei ra,maori,Here they are.
E'aha te útu' mo te kai tó tó?,maori,What wilt thou give the draggers?
"E kapána ra óki, e matau.",maori,Potatoes and fish-hooks.
Méa pai ra,maori,Well.
Ahéa tóhia mai te rákau?,maori,When wilt thou bring the timber?
A te táhi ra; á wáke,maori,"The day after tomorrow, or the next day."
"Ki e á e óro, émara! e pórangi ána ra óki 'au ki a óti",maori,"Make haste, Sir! I am in haste to finish my house."
Ahéa óti ai?,maori,When wilt thou finish?
Ki a wai rákau ki tóku káinga; na! ka óti ra.,maori,When there is timber at my place. See! It will finish.
Móku te táhi kapána?,maori,Give me some potatoes?
Mo wai óti te kapána?,maori,For whomare the potatoes?
Mo te kai tó tó ra óki.,maori,For the draggers.
E hía óti kéte?,maori,How many baskets?
"E óno ra óki. Ka óre e kínake, e táhi porka ra nei, e méa móro íti?",maori,Sir! Is there no food to make the potatoes palatable; perhaps a small bit of pork?
Ténei te porka. E ói.,maori,Here is the pork: that's all.
I ko ná ra!,maori,Farewell!
Hoi átu ra!,maori,A prosperous voyage.
"Ka ránga tía te ánga tamaníki, kía aire mai, kía karakía.",maori,Tell the boys to come and read?
E aire mai ána ra óki rátu.,maori,They are coming.
Aire mai ra. Máu óki e karakía ki múa.,maori,Come. Thou read first.
E mátau ána pe óki 'au?,maori,Perhaps I understand?
Ka mátau ra óki koe,maori,Thou understandest.
"E nóho mádie, ékoro má, kaua e tutú?",maori,"Sit still, scholars. Do not make a noise."
"Ka túdi tóku táringa, ékoro ma: ki ai 'au e róngo.",maori,My ears are confused. I do not yet hear.
E róngo ána óti koe?,maori,Dost thou now hear?
Ka róngo ra óki 'au,maori,I now hear.
Ka pai ra óki 'au ki ténei búka búka.,maori,I am fond of this book.
