ID	Text	LanguageID	Translation
1966874	Mae hi'n saith o'r gloch.	3688423	It is seven o'clock.
1966875	Roedd y tywysog ar goll yn y goedwig.	25621	The prince was lost in the woods.
1966876	Mae'n stori amwys.	1238297	It's a vague story.
1966877	Mae o'n casáu Nancy.	292275	He hates Nancy.
1968589	Mae'n rhaid i mi fynd rŵan.	486448	I must go now.
1968589	Mae'n rhaid i mi fynd rŵan.	321700	I have to go now.
1968596	Mae o newydd gyrraedd.	451727	He just arrived.
1968596	Mae o newydd gyrraedd.	3688417	He has just arrived.
1968602	Mae'r trên yn gyflym iawn.	1196238	The train is very fast.
1968604	Oes gen ti unrhyw lyfrau am Armenia?	1781625	Do you have any books about Armenia?
1968605	Oes gennych chi unrhyw lyfrau am Armenia?	1781625	Do you have any books about Armenia?
1968677	Byth eto.	1476573	Never again.
1969639	Tybed beth ddigwyddodd?	25162	I wonder what happened.
1969641	Mae yna ddwy gath yn cysgu ar y gwely.	1580155	There are two cats sleeping on the bed.
1969641	Mae yna ddwy gath yn cysgu ar y gwely.	3688412	There are two female cats sleeping on the bed.
1969642	Mae hanner yr afalau hyn wedi pydru.	55274	Half of these apples are rotten.
1969647	Wyt ti wir eisiau aros am Tom?	1874054	Do you really want to wait for Tom?
1969655	Dw i'n hoffi darllen.	1276130	I like reading.
1969661	Cyflwyna dy waith cartref ar ddydd Llun.	266702	Submit your homework on Monday.
1969664	Cyflwynwch eich gwaith cartref ar ddydd Llun.	266702	Submit your homework on Monday.
1969713	Mae yna ddau sero yn y rhif "2010".	682519	There are two zeros in the number "2010."
1969713	Mae yna ddau sero yn y rhif "2010".	3688406	There are two zeroes in "2010".
1970591	Roedd hi'n niwlog iawn.	3688405	It was very misty.
1970599	Athrawes ydy hi.	315459	She is a teacher.
1970600	Mae hi'n athrawes.	315459	She is a teacher.
1972502	Rydym yn gwylio.	1148320	We are watching.
1972504	Gwyliwn.	1148320	We are watching.
1972506	Rhedodd yr arth ar fy ôl i.	48603	The bear ran after me.
1972507	Mae o'n dalach na'i frawd.	285416	He is taller than his brother.
1972508	Mae'r glaw yn fy nilyn i bob man!	3688399	The rain follows me everywhere!
1972509	Beth wyt ti'n ei wneud dydd Sul nesa'?	1230047	What are you doing next Sunday?
1972510	Yn ôl Meic, mi brynodd Mac gar newydd.	32958	According to Mike, Mac bought a new car.
1972512	Dw i'n gwerthfawrogi'r cyngor.	1933624	I appreciate the advice.
1972513	Mae'r Gymraeg, Cernyweg a'r Llydaweg oll yn perthyn yn agos i'w gilydd.	3688394	Welsh, Cornish and Breton are all closely related.
1977137	Dw i'n dod adre.	1666740	I'm coming home.
1977138	Myfyrwraig feddygol oedd hi.	312525	She was a medical student.
1977140	Roedd hi'n sefyll yng nghanol yr ystafell.	311406	She was standing in the middle of the room.
1977142	Mae Tom yn swrth iawn.	1164492	Tom is very blunt.
1977145	Dw i'n mynd i'r eglwys ar ddydd Sul.	281813	On Sunday, I go to church.
1977145	Dw i'n mynd i'r eglwys ar ddydd Sul.	259857	I go to church on Sunday.
1977167	Mae hi wedi bod yn ddiwrnod da.	1476337	It's been a good day.
1977167	Mae hi wedi bod yn ddiwrnod da.	3688389	It has been a good day.
1977169	Dw i'n heneiddio.	1619683	I'm getting old.
1977175	Mae'r trên yn ddeng munud yn hwyr heddiw.	469189	The train is 10 minutes late today.
1977175	Mae'r trên yn ddeng munud yn hwyr heddiw.	430204	The train is ten minutes late today.
1977177	Mae eu traed yn fudr.	1747301	Their feet are dirty.
1977177	Mae eu traed yn fudr.	3688387	His feet are dirty.
1977181	Mae'r cwmni eisiau cyflogi ugain o bobl.	1451707	The company wants to hire 20 people.
1977181	Mae'r cwmni eisiau cyflogi ugain o bobl.	3688386	The company want to employ twenty people.
1977186	Mae hi wedi bod yn bwrw glaw yn ddi-stop am dri diwrnod.	1103168	It's been raining non-stop for three days.
1977186	Mae hi wedi bod yn bwrw glaw yn ddi-stop am dri diwrnod.	3688385	It has been raining nonstop for three days.
1977441	Wyt ti'n hoffi bwyd Japaneaidd?	281698	Do you like Japanese food?
1977449	Pa bryd wyt ti'n mynd?	1886666	When are you going?
1977449	Pa bryd wyt ti'n mynd?	3688382	What time are you going?
1977869	Roedd yr ardd yn llawn o flodau melyn.	1563068	The garden was full of yellow flowers.
1977871	Mae aros adre yn ddiflas.	1046417	Staying at home is boring.
1977871	Mae aros adre yn ddiflas.	3688378	Staying home is boring.
1977873	Wyt ti'n adnabod Mr. Bingley?	914052	Do you know Mr. Bingley?
1977875	Ydych chi'n adnabod Mr. Bingley?	914052	Do you know Mr. Bingley?
1977875	Ydych chi'n adnabod Mr. Bingley?	3688377	Do you know Mr Bingley?
1977880	Pam wnest ti gadael dy swydd?	1495804	Why did you quit your job?
1977880	Pam wnest ti gadael dy swydd?	3688373	Why did you leave your job?
1978690	S'mae, fy enw i yw Pekka. Beth yw dy enw di?	1014525	Hi, my name is Pekka. What is your name?
1978690	S'mae, fy enw i yw Pekka. Beth yw dy enw di?	3688372	Hi, how are you? My name is Pekka. What is your name?
1978868	Dydw i ddim yn gwylio teledu.	1084698	I don't watch TV.
1978868	Dydw i ddim yn gwylio teledu.	3688371	I don't watch television.
1978875	Mae gan gath gynffon a phedair coes.	1650744	A cat has a tail and four legs.
1978875	Mae gan gath gynffon a phedair coes.	3688368	Cats have a tail and four legs.
1978877	Mae traean yn llai na hanner.	1808386	A third is less than a half.
1978881	Ysgrifennodd Alexander frawddegau yn yr iaith Ferber.	1755604	Alexander wrote some sentences in Berber.
1978881	Ysgrifennodd Alexander frawddegau yn yr iaith Ferber.	3688367	Alexander wrote sentences in the Berber language.
1978884	Arabeg yw fy mamiaith.	1807927	Arabic is my mother tongue.
1978888	A oes yna unrhyw draethau yn yr Almaen?	1761449	Are there any beaches in Germany?
1978890	A oes yna ddaeargrynfeydd yn yr Almaen?	1761990	Are there earthquakes in Germany?
1978893	A oes yna orlifoedd yn yr Almaen?	1761984	Are there floods in Germany?
1978895	A oes yna sgorpionau yn yr Almaen?	1761894	Are there scorpions in Germany?
1978897	Wyt ti am dalu amdano?	1928982	Are you gonna pay for it?
1978904	Mae Barack Obama yn Gristion.	1883014	Barack Obama is a Christian.
1978913	Mae marwolaeth yn barhaol.	1876992	Death is permanent.
1978917	Wyt ti erioed wedi plannu coeden?	1722855	Have you ever planted a tree?
1978923	Welaist ti ei hwyneb hi?	1624885	Did you see her face?
1978924	Welaist ti ei wyneb o?	1624884	Did you see his face?
1978926	Welaist ti eu wynebau?	1624886	Did you see their faces?
1978927	Ydy cathod yn breuddwydio?	1907947	Do cats dream?
1978931	Ydy'r ddau ohonynt yn deall Siapaneg?	1824742	Do they both understand Japanese?
1978932	Oes ganddyn nhw arian?	1877036	Do they have money?
1978935	Wyt ti dal yn ei garu o?	1855177	Do you still love him?
1978937	Oes ganddo arian?	1877039	Does he have money?
1978937	Oes ganddo arian?	3688348	Has he got money?
1978939	Ydy o'n hoffi Siapan?	1816106	Does he like Japan?
1978941	Ydy cariad yn bodoli?	1743386	Does love exist?
1978944	Oes ganddi hi gariad?	1745737	Does she have a boyfriend?
1978944	Oes ganddi hi gariad?	3688337	Does she have a lover?
1978947	Ydy'r cloc yna yn gweithio?	1853203	Does that clock work?
1978950	Ydy dy ffrind yn siarad Esperanto?	1917668	Does your friend speak Esperanto?
1978952	Ydy dy gyfaill yn siarad Esperanto?	1917668	Does your friend speak Esperanto?
1978984	Mae'n rhaid i mi brynu blodau i'm cariad.	3688332	I have to buy flowers for my love.
1978989	Mae'r ci yn cysgu yn y car.	1798367	The dog is sleeping in the car.
1978989	Mae'r ci yn cysgu yn y car.	3149606	The dog's sleeping in the car.
1979006	Mae yna gath ar y bwrdd.	1661973	There's a cat on the table.
1979006	Mae yna gath ar y bwrdd.	3688329	There is a cat on the table.
1979037	Roeddwn i'n darllen llyfr.	261751	I was reading a book.
1979126	Ble mae'r swyddfa bost?	324546	Where is the post office?
1979159	Wnest ti anghofio unrhyw beth?	1956407	Did you forget anything?
1979160	Mae Tom yn anorecsig.	1841465	Tom is anorexic.
1979300	Mae ei theulu yn fawr iawn.	309110	Her family is very large.
1979300	Mae ei theulu yn fawr iawn.	3688324	His family is very big.
1979312	Mae gen i syniad da.	66724	I've got a good idea.
1979312	Mae gen i syniad da.	2358728	I have a good idea.
1979332	Dw i'n rhy fyr.	436445	I am too short.
1979332	Dw i'n rhy fyr.	3688322	I'm too short.
1979348	Pa danlwybr sy'n mynd i ganol y dref?	37475	What subway goes to the center of town?
1979355	Mae'r dref yn enwog am ei hen gastell.	45047	The town is famous for its old castle.
1979359	Cachu!	860466	Shit!
1979369	Roedd y llyfr hwn yn hawdd.	515562	This book was easy.
1979381	Mae gen i lawer o dir.	509651	I have a lot of land.
1979384	Mae hadau grawnafal yn gymharol fawr.	459080	Pomegranate seeds are relatively big.
1979393	Mae Muiriel yn ugain mlwydd oed.	1078082	Muiriel is twenty years old.
1979393	Mae Muiriel yn ugain mlwydd oed.	3688316	Muriel is twenty years old.
1979394	Dw i'n hoffi bod gyda thi.	892903	I like to be with you.
1979394	Dw i'n hoffi bod gyda thi.	2221070	I like being with you.
1979400	Mi es i i'r gwely yn hwyr yn y nos.	261998	I went to bed late at night.
1979400	Mi es i i'r gwely yn hwyr yn y nos.	3688312	I went to bed late in the night.
1979434	Peidiwch â dweud celwydd!	3688311	Don't tell lies!
1979448	Mae Tom yn chwarae ffrisbi.	1604666	Tom is playing frisbee.
1979448	Mae Tom yn chwarae ffrisbi.	3688309	Tom is playing Frisbee.
1979463	Dw i am gael rhywbeth i'w fwyta.	1830560	I'm going to get something to eat.
1979463	Dw i am gael rhywbeth i'w fwyta.	3688307	I am going to have something to eat.
1979478	Mae'n amlwg i bawb ei fod e mewn cariad.	284336	It's evident to everybody that he's in love.
1979478	Mae'n amlwg i bawb ei fod e mewn cariad.	3688304	It's obvious to everyone that he is in love.
1979481	Dw i angen cael swydd.	1887583	I need to get a job.
1979484	Be' sy'n bod, cariad?	1543975	What's wrong sweetie?
1979484	Be' sy'n bod, cariad?	3688297	What's the matter, love?
1979489	Mae'n amhosib iddo rhoi'r gorau i ysmygu.	283187	It is impossible for him to give up smoking.
1979489	Mae'n amhosib iddo rhoi'r gorau i ysmygu.	3688295	It's impossible for him to give up smoking.
1979492	Dw i wir angen siarad gyda thi.	1839504	I really need to talk to you.
1979492	Dw i wir angen siarad gyda thi.	3688292	I really need to talk with you.
1979499	Mae'r llyfr hwn yn rhy ddrud i mi.	586669	This book is too expensive for me.
1979509	Roedd gen i syniad gwych.	1176638	I had a brilliant idea.
1979511	Gad i mi wybod.	1228083	Let me know.
1979512	Gadewch i mi wybod.	1228083	Let me know.
1979518	Wyt ti wedi ymweld â sw yn dy wlad di?	682522	Have you visited a zoo in your country?
1979529	Mae'n rhaid i mi weld meddyg ar unwaith.	436903	I need to see a doctor immediately.
1979529	Mae'n rhaid i mi weld meddyg ar unwaith.	3688285	I must see a doctor at once.
1979538	Mae'r ieithydd yn eitha gyfarwydd â'r dafodiaith.	239747	The linguist is quite familiar with the dialect.
1979542	Nid yw'r llyfr hwn am ieithyddiaeth.	660965	This book is not about linguistics.
1979557	Gall berson dwyieithog newid o un iaith i iaith arall yng nghanol frawddeg, ac mae'r cyfnewid-cod hwn yn bwnc astudio i ieithyddion.	1561536	A bilingual person can change from one language to another in the middle of a sentence, and this code-switching is a topic of study for linguists.
1979562	Ieithydd Americanaidd oedd Edward Sapir.	1787777	Edward Sapir was an American linguist.
1979571	Mae gen i'r ffliw a dw i wedi blino.	65716	I have the flu and I'm tired.
1979571	Mae gen i'r ffliw a dw i wedi blino.	3688283	I have flu and I'm tired.
1979585	Dwyt ti ddim i fod i ysmygu yma.	61940	You are not supposed to smoke here.
1979585	Dwyt ti ddim i fod i ysmygu yma.	2712854	You're not supposed to smoke here.
1979868	Rydym ni am wahodd Tom a Mary i'n parti Nos Galan Gaeaf.	1027687	We're going to invite Tom and Mary to our Halloween party.
1979880	Tywynna'r bryn gan liwiau hydrefol.	19856	The hill glows with autumnal colors.
1979892	Roedd hi'n noswaith hydrefol hyfryd.	51852	It was a lovely autumn evening.
1979901	Mae'r hydref yma.	266339	Autumn is here.
1979901	Mae'r hydref yma.	3688281	The autumn is here.
1979903	Try'r mynydd i gyd yn goch yn yr hydref.	266340	The whole mountain turns red in autumn.
1979906	Mae'r dail yn newid eu lliw yn yr hydref.	266343	The leaves change color in autumn.
1979906	Mae'r dail yn newid eu lliw yn yr hydref.	3688280	The leaves change their colour in autumn.
1979911	Yn yr hydref, syrth y dail o'r coed.	266345	In autumn, leaves fall from trees.
1979911	Yn yr hydref, syrth y dail o'r coed.	3688278	In the Autumn, the leaves fall from the trees.
1979919	Yr hydref yw'r tymor gorau ar gyfer darllen.	3688277	Autumn is the best season for reading.
1979922	Fel deilen yn yr hydrefwynt.	266379	Like a leaf in the autumn breeze.
1979922	Fel deilen yn yr hydrefwynt.	3688272	Like a leaf in the autumn wind.
1979934	Mae ganddo ddwylo esmwyth.	1979949	He has smooth hands.
1979956	Wyt ti'n siarad Saesneg?	378270	Do you speak English?
1979972	Mae gen i lyfr.	2675444	I've got a book.
1979972	Mae gen i lyfr.	2793249	I have a book.
1979984	Sut mae'r tywydd?	64158	How is the weather?
1980040	Wyt ti'n hoffi astudio?	2675441	Do you like studying?
1980050	Mae fy llygaid yn las.	422356	My eyes are blue.
1980054	Mae'r tywydd yn braf heddiw.	3688260	The weather is nice today.
1981638	Mae'r bwrdd hwn yn lân.	431039	This table is clean.
1981640	Llosgodd ei sigarét o dwll yn ei ffrog hi.	285627	His cigarette burned a hole in her dress.
1981640	Llosgodd ei sigarét o dwll yn ei ffrog hi.	3688256	His cigarette burnt a hole in her dress.
1981643	Mae'r athro newydd yn y dosbarth.	1330520	The new teacher is in the classroom.
1981644	Mae'r athrawes newydd yn y dosbarth.	1330520	The new teacher is in the classroom.
1981657	Mae hi'n fyd creulon.	1624842	It's a cruel world.
1981662	Dw i'n hoffi bananas yn fwy nag afalau.	255927	I like bananas more than apples.
1981666	Mi gaeodd o'r drws yn flin.	885555	He angrily closed the door.
1981666	Mi gaeodd o'r drws yn flin.	3688245	He shut the door angrily.
1981674	"Mae gen ti gyfnod canolbwyntio iâr." "Mae ieir yn blasus." "Fy mhwynt yn union."	852204	"You have the attention span of a chicken." "Chickens are delicious." "My point exactly."
1981674	"Mae gen ti gyfnod canolbwyntio iâr." "Mae ieir yn blasus." "Fy mhwynt yn union."	3688244	"You have the attention span of a chicken." "Chickens are tasty." "My point exactly."
1981677	Ddoe, aeth fy chwaer i Kobe.	453891	Yesterday my sister went to Kobe.
1981677	Ddoe, aeth fy chwaer i Kobe.	3688241	Yesterday, my sister went to Kobe.
1981680	Y broblem yw bod egni solar yn rhy ddrud.	453476	The problem is that solar energy is too expensive.
1981680	Y broblem yw bod egni solar yn rhy ddrud.	3688239	The problem is that solar power is too expensive.
1981681	Mae'r bobl yn dioddef.	778811	The people are suffering.
1981691	Mi dreuliodd o lawer o'i amser yn darllen.	803080	He spent much of his time reading.
1981691	Mi dreuliodd o lawer o'i amser yn darllen.	3688236	He spent a lot of his time reading.
1981694	Gest ti amser da ddoe?	244507	Did you have a good time yesterday?
1981701	Heddiw yw dydd Gwener.	1151784	Today is Friday.
1981868	Mae Tom a Mary yn chwarae Cluedo gyda'u ffrindiau.	1476487	Tom and Mary are playing Cluedo with their friends.
1981871	Mae'r myfyrwyr yn gwirioni at yr athro Saesneg newydd.	271806	The students adore the new English teacher.
1981872	Mae'r myfyrwyr yn gwirioni at yr athrawes Saesneg newydd.	271806	The students adore the new English teacher.
1981877	Does dim rhaid i Tom ymddiheuro i Mary.	1029186	Tom doesn't have to apologize to Mary.
1981877	Does dim rhaid i Tom ymddiheuro i Mary.	3688229	Tom doesn't have to apologise to Mary.
1981878	Pa fathau o frechdanau sydd gennych?	1736151	What types of sandwiches do you have?
1981879	Pa fathau o frechdanau sydd gennyt ti?	1736151	What types of sandwiches do you have?
1981879	Pa fathau o frechdanau sydd gennyt ti?	3688225	What sort of sandwiches do you have?
1981968	Mae o'n sgrechian, nid canu.	1654073	He's screaming, not singing.
1981968	Mae o'n sgrechian, nid canu.	3688223	He is screaming, not singing.
1981971	Mae o'n ddigon hen i fynd i'r ysgol.	1891661	He's old enough to go to school.
1981971	Mae o'n ddigon hen i fynd i'r ysgol.	3688222	He is old enough to go to school.
1981989	Beth ydy Tom yn darllen?	1543584	What's Tom reading?
1981989	Beth ydy Tom yn darllen?	3688221	What is Tom reading?
1982022	Mae o'n gweithio oriau hir.	1829496	He works long hours.
1982032	Os wyt ti eisiau rhedeg, yna rheda.	1570770	If you want to run, then run.
1982037	Graddiais o brifysgol eleni.	256885	I graduated from university last year.
2036738	Sul y mamau hapus!	706874	Happy Mother's Day!
2036738	Sul y mamau hapus!	3688219	Happy Mothering Sunday.
2133864	Ble mae'r banc agosaf?	2362510	Where's the nearest bank?
2133864	Ble mae'r banc agosaf?	27259	Where is the nearest bank?
2133876	Rwy'n gweithio mewn banc.	663084	I work in a bank.
2133885	Paid eistedd ar y bench na.	68619	Don't sit on that bench.
2318115	Dw i'n mynd i ddysgu almanaeg.	2333221	I'm going to learn German.
2347969	Ydych chi'n siarad Saesneg?	378270	Do you speak English?
2447558	Rhaid i chi ateb y cwestiwn.	747693	You must answer the question.
2447558	Rhaid i chi ateb y cwestiwn.	3688210	You have to answer the question.
2796667	Mae e'n gallu darllen yn dda.	388979	He can read pretty well.
2796667	Mae e'n gallu darllen yn dda.	3688209	He is good at reading.
2796984	Dydy Ellen ddim yn gallu siarad Cymraeg.	65231	Ellen does not speak English.
2796984	Dydy Ellen ddim yn gallu siarad Cymraeg.	3688208	Ellen doesn't speak Welsh.
2797008	Mae Tom yn siarad.	2236872	Tom is talking.
2797420	Does dim cath gyda fi.	881861	I don't have a cat.
2797473	Oes ci gyda fe?	2825284	Has he got a dog?
2797473	Oes ci gyda fe?	295974	Does he have a dog?
